SWIFT CODE;ADDRESS;NAME;COUNTRY ISO2 CODE;COUNTRY NAME;IS HEADQUARTER
LCDELV22CLT;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
FNOBCLR2XXX;ISIDORA GOYENECHEA 3477, FLOOR 11 LAS CONDES - SANTIAGO, PROVINCIA DE SANTIAGO, 7550106;FINANZAS Y NEGOCIOS S.A. CORREDORES DE BOLSA;CL;CHILE;1
AGDSCLRSXXX;AV. APOQUINDO 4820, FLOOR 15  SANTIAGO, SANTIAGO, 8320000;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;CL;CHILE;1
DOAVMCMCXXX;LES CARAVELLES  MONACO, MONACO, 98000;DOXA ADVISORS S.A.M.;MC;MONACO;1
EMSYMTMTXXX;PARTHENON BUILDING  SLIEMA, TAS-SLIEMA, SLM 3141;EMP SYSTEMS LIMITED;MT;MALTA;1
MALTMTMTECM;CASTILLE PLACE  VALLETTA, VALLETTA;CENTRAL BANK OF MALTA;MT;MALTA;0
GUAVPLPPXXX;SW. MIKOLAJA 8/11  WROCLAW, WROCLAW, 50-125;GUAVAPAY POLAND SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;PL;POLAND;1
BSBGBGS2XXX;TZAR BORIS III BLVD. 41  SOFIA, SOFIA, 1612;BORICA AD;BG;BULGARIA;1
CEDPBGSFCLX;TRI USHI STREET 6  SOFIA, SOFIA, 1000;CENTRAL DEPOSITORY AD;BG;BULGARIA;0
IDXOLV22XXX;ELIZABETES STREET 13-1A  RIGA, RIGA, LV-1010;INDEXO BANKA AS;LV;LATVIA;1
THRIBGS2XXX;OKOLOVRASTEN PAT 251G MM BUSINESS CENTER, FLOOR 4, MLADOST 4 SOFIA, SOFIA, 1715;THRACIAN INVEST INC.;BG;BULGARIA;1
FESKPLP2XXX;PROMIENNA 38/1  WARSZAWA, MAZOWIECKIE, 03-672;FENIGE SPOLKA AKCYJNA;PL;POLAND;1
BLLGMTMBXXX;FLOOR 2, TRIDENT PARK, NOTABILE GARDENS 7 MDINA ROAD, ZONE 2 BIRKIRKARA, BIRKIRKARA, CBD 2010;BALLINGER EU LIMITED;MT;MALTA;1
BLLGMTMTXXX;FLOOR 2, TRIDENT PARK NOTABILE G 7 MDINA ROAD, ZONE 2 BIRKIRKARA, BIRKIRKARA, CBD 2010;BALLINGER MARKETS LTD.;MT;MALTA;1
LACBLV2XEKS;K. VALDEMARA STREET 2A  RIGA, RIGA, LV-1050;BANK OF LATVIA;LV;LATVIA;0
SIAXLV22XXX;DZIRNAVU 42  RIGA, RIGA, LV-1010;SIA 'XPATE';LV;LATVIA;1
TRUMMTM2XXX;FLOOR 3, QUAD CENTRAL Q3 TRIQ L-ESPLORATURI, ZONE 1, CENTRAL BIRKIRKARA, BIRKIRKARA, CBD 1040;TRUMIA LIMITED;MT;MALTA;1
SOOZPLPPXXX;SPOLDZIELCZA 6  LUBLIN, LUBELSKIE, 20-402;STOCK POLSKA SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;PL;POLAND;1
NBPLPLPDREZ;UL. SWIETOKRZYSKA 11/21  WARSZAWA, MAZOWIECKIE, 00-919;NARODOWY BANK POLSKI;PL;POLAND;0
MSEMMCMCXXX;FLOOR 5, EST-OUEST 24 BOULEVARD PRINCESSE CHARLOTTE, MONTE CARLO MONACO, MONACO, 98000;MONACO SPORTS AND MANAGEMENT S.A.M.;MC;MONACO;1
RTMBLV2XTIP;VESETAS STREET 7  RIGA, RIGA, LV-1013;RIETUMU BANKA;LV;LATVIA;0
SYPLMTM2XXX;68, NORTHFIELDS PENTHOUSE 9 INDEPENDENCE AVENUE MOSTA, MOSTA;SYSTEM PAY SERVICES (MALTA) LIMITED;MT;MALTA;1
LAPBLV2X011;BRIVIBAS IELA 54  RIGA, RIGA, LV-1011;AS LPB BANK;LV;LATVIA;0
KDPWPLPW1AM;UL. KSIAZECA 4  WARSZAWA, MAZOWIECKIE, 00-498;KRAJOWY DEPOZYT PAPIEROW WARTOSCIOWYCH SPOLKA AKCYJNA;PL;POLAND;0
KDPWPLPWCAP;UL. KSIAZECA 4 4  WARSZAWA, MAZOWIECKIE, 00-498;KRAJOWY DEPOZYT PAPIEROW WARTOSCIOWYCH SPOLKA AKCYJNA;PL;POLAND;0
KDPWPLPWPEN;UL. KSIAZECA 4  WARSZAWA, MAZOWIECKIE, 00-498;KRAJOWY DEPOZYT PAPIEROW WARTOSCIOWYCH SPOLKA AKCYJNA;PL;POLAND;0
CULRMTMMXXX;UNIT A, GROUND FLOOR Q2, TIGNE POINT SLIEMA, TAS-SLIEMA, SLM 3190;CULTURA LIMITED;MT;MALTA;1
IFSMMTM2XXX;PENTHOUSE, CAPITAL BUSINESS CENTRE TRIQ TAZ-ZWEJT SAN GWANN, SAN GWANN, SGN 3000;IXARIS FINANCIAL SERVICES MALTA LIMITED;MT;MALTA;1
TPEOPLPWAAS;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWARW;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWASZ;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWAUS;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWB15;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWBOW;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWCHI;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
TPEOPLPWDA2;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TOWARZYSTWO FUNDUSZY  INWESTYCYJNYCH SPOLKA AKCYJNA;PL;POLAND;0
